,0,1,2
113,Ottawa-Gatineau,Ontario part,Ontario/Quebec
115,Ottawa-Gatineau,Quebec part,Ontario/Quebec
116,Ottawa-Gatineau,Quebec part,Ontario/Quebec
118,Ottawa-Gatineau,Quebec part,Ontario/Quebec
119,Ottawa-Gatineau,Quebec part,Ontario/Quebec
121,Peterborough,Ontario,
122,Peterborough,Ontario,
124,Peterborough,Ontario,
125,Peterborough,Ontario,
127,Québec,Quebec,
128,Québec,Quebec,
130,Québec,Quebec,
131,Québec,Quebec,
133,Regina,Saskatchewan,
134,Regina,Saskatchewan,
136,Regina,Saskatchewan,
137,Regina,Saskatchewan,
139,St. Catharines-Niagara,Ontario,
140,St. Catharines-Niagara,Ontario,
142,St. Catharines-Niagara,Ontario,
143,St. Catharines-Niagara,Ontario,
145,St. John's,Newfoundland and Labrador,
146,St. John's,Newfoundland and Labrador,
148,St. John's,Newfoundland and Labrador,
149,St. John's,Newfoundland and Labrador,
151,Saguenay,Quebec,
152,Saguenay,Quebec,
154,Saguenay,Quebec,
155,Saguenay,Quebec,
157,Saint John,New Brunswick,
158,Saint John,New Brunswick,
160,Saint John,New Brunswick,
161,Saint John,New Brunswick,
163,Saskatoon,Saskatchewan,
164,Saskatoon,Saskatchewan,
166,Saskatoon,Saskatchewan,
167,Saskatoon,Saskatchewan,
169,Sherbrooke,Quebec,
170,Sherbrooke,Quebec,
172,Sherbrooke,Quebec,
173,Sherbrooke,Quebec,
175,Thunder Bay,Ontario,
176,Thunder Bay,Ontario,
178,Thunder Bay,Ontario,
179,Thunder Bay,Ontario,
181,Toronto,Ontario,
182,Toronto,Ontario,
184,Toronto,Ontario,
185,Toronto,Ontario,
187,Trois-Rivières,Quebec,
188,Trois-Rivières,Quebec,
190,Trois-Rivières,Quebec,
191,Trois-Rivières,Quebec,
193,Vancouver,British Columbia,
194,Vancouver,British Columbia,
196,Vancouver,British Columbia,
197,Vancouver,British Columbia,
199,Victoria,British Columbia,
200,Victoria,British Columbia,
202,Victoria,British Columbia,
203,Victoria,British Columbia,
205,Windsor,Ontario,
206,Windsor,Ontario,
208,Windsor,Ontario,
209,Windsor,Ontario,
211,Winnipeg,Manitoba,
212,Winnipeg,Manitoba,
214,Winnipeg,Manitoba,
215,Winnipeg,Manitoba,
223,Abbotsford-Mission,British Columbia,
224,Abbotsford-Mission,British Columbia,
226,Abbotsford-Mission,British Columbia,
227,Abbotsford-Mission,British Columbia,
229,Barrie,Ontario,
230,Barrie,Ontario,
232,Barrie,Ontario,
233,Barrie,Ontario,
235,Brantford,Ontario,
236,Brantford,Ontario,
238,Brantford,Ontario,
239,Brantford,Ontario,
241,Calgary,Alberta,
242,Calgary,Alberta,
244,Calgary,Alberta,
245,Calgary,Alberta,
247,Edmonton,Alberta,
248,Edmonton,Alberta,
250,Edmonton,Alberta,
251,Edmonton,Alberta,
253,Greater Sudbury,Ontario,
254,Greater Sudbury,Ontario,
256,Greater Sudbury,Ontario,
257,Greater Sudbury,Ontario,
259,Guelph,Ontario,
260,Guelph,Ontario,
262,Guelph,Ontario,
263,Guelph,Ontario,
265,Halifax,Nova Scotia,
266,Halifax,Nova Scotia,
268,Halifax,Nova Scotia,
269,Halifax,Nova Scotia,
271,Hamilton,Ontario,
272,Hamilton,Ontario,
274,Hamilton,Ontario,
275,Hamilton,Ontario,
277,Kelowna,British Columbia,
278,Kelowna,British Columbia,
280,Kelowna,British Columbia,
281,Kelowna,British Columbia,
283,Kingston,Ontario,
284,Kingston,Ontario,
286,Kingston,Ontario,
287,Kingston,Ontario,
289,Kitchener-Cambridge-Waterloo,Ontario,
290,Kitchener-Cambridge-Waterloo,Ontario,
292,Kitchener-Cambridge-Waterloo,Ontario,
293,Kitchener-Cambridge-Waterloo,Ontario,
295,London,Ontario,
296,London,Ontario,
298,London,Ontario,
299,London,Ontario,
301,Moncton,New Brunswick,
302,Moncton,New Brunswick,
304,Moncton,New Brunswick,
305,Moncton,New Brunswick,
307,Montréal excluding Saint-Jérôme,Quebec,
308,Montréal excluding Saint-Jérôme,Quebec,
310,Montréal excluding Saint-Jérôme,Quebec,
311,Montréal excluding Saint-Jérôme,Quebec,
313,Oshawa,Ontario,
314,Oshawa,Ontario,
316,Oshawa,Ontario,
317,Oshawa,Ontario,
319,Ottawa-Gatineau,Ontario/Quebec,
320,Ottawa-Gatineau,Ontario/Quebec,
322,Ottawa-Gatineau,Ontario/Quebec,
323,Ottawa-Gatineau,Ontario/Quebec,
325,Ottawa-Gatineau,Ontario part,Ontario/Quebec
326,Ottawa-Gatineau,Ontario part,Ontario/Quebec
328,Ottawa-Gatineau,Ontario part,Ontario/Quebec
329,Ottawa-Gatineau,Ontario part,Ontario/Quebec
331,Ottawa-Gatineau,Quebec part,Ontario/Quebec
332,Ottawa-Gatineau,Quebec part,Ontario/Quebec
334,Ottawa-Gatineau,Quebec part,Ontario/Quebec
335,Ottawa-Gatineau,Quebec part,Ontario/Quebec
337,Peterborough,Ontario,
338,Peterborough,Ontario,
340,Peterborough,Ontario,
341,Peterborough,Ontario,
343,Québec,Quebec,
344,Québec,Quebec,
346,Québec,Quebec,
347,Québec,Quebec,
349,Regina,Saskatchewan,
350,Regina,Saskatchewan,
352,Regina,Saskatchewan,
353,Regina,Saskatchewan,
355,St. Catharines-Niagara,Ontario,
356,St. Catharines-Niagara,Ontario,
358,St. Catharines-Niagara,Ontario,
359,St. Catharines-Niagara,Ontario,
361,St. John's,Newfoundland and Labrador,
362,St. John's,Newfoundland and Labrador,
364,St. John's,Newfoundland and Labrador,
365,St. John's,Newfoundland and Labrador,
367,Saguenay,Quebec,
368,Saguenay,Quebec,
370,Saguenay,Quebec,
371,Saguenay,Quebec,
373,Saint John,New Brunswick,
374,Saint John,New Brunswick,
376,Saint John,New Brunswick,
377,Saint John,New Brunswick,
379,Saskatoon,Saskatchewan,
380,Saskatoon,Saskatchewan,
382,Saskatoon,Saskatchewan,
383,Saskatoon,Saskatchewan,
385,Sherbrooke,Quebec,
386,Sherbrooke,Quebec,
388,Sherbrooke,Quebec,
389,Sherbrooke,Quebec,
391,Thunder Bay,Ontario,
392,Thunder Bay,Ontario,
394,Thunder Bay,Ontario,
395,Thunder Bay,Ontario,
397,Toronto,Ontario,
398,Toronto,Ontario,
400,Toronto,Ontario,
401,Toronto,Ontario,
403,Trois-Rivières,Quebec,
404,Trois-Rivières,Quebec,
406,Trois-Rivières,Quebec,
407,Trois-Rivières,Quebec,
409,Vancouver,British Columbia,
410,Vancouver,British Columbia,
412,Vancouver,British Columbia,
413,Vancouver,British Columbia,
415,Victoria,British Columbia,
416,Victoria,British Columbia,
418,Victoria,British Columbia,
419,Victoria,British Columbia,
421,Windsor,Ontario,
422,Windsor,Ontario,
424,Windsor,Ontario,
425,Windsor,Ontario,
427,Winnipeg,Manitoba,
428,Winnipeg,Manitoba,
430,Winnipeg,Manitoba,
431,Winnipeg,Manitoba,
439,Abbotsford-Mission,British Columbia,
440,Abbotsford-Mission,British Columbia,
442,Abbotsford-Mission,British Columbia,
443,Abbotsford-Mission,British Columbia,
445,Barrie,Ontario,
446,Barrie,Ontario,
448,Barrie,Ontario,
449,Barrie,Ontario,
451,Brantford,Ontario,
452,Brantford,Ontario,
454,Brantford,Ontario,
455,Brantford,Ontario,
457,Calgary,Alberta,
458,Calgary,Alberta,
460,Calgary,Alberta,
461,Calgary,Alberta,
463,Edmonton,Alberta,
464,Edmonton,Alberta,
466,Edmonton,Alberta,
467,Edmonton,Alberta,
469,Greater Sudbury,Ontario,
470,Greater Sudbury,Ontario,
472,Greater Sudbury,Ontario,
473,Greater Sudbury,Ontario,
475,Guelph,Ontario,
476,Guelph,Ontario,
478,Guelph,Ontario,
479,Guelph,Ontario,
481,Halifax,Nova Scotia,
482,Halifax,Nova Scotia,
484,Halifax,Nova Scotia,
485,Halifax,Nova Scotia,
487,Hamilton,Ontario,
488,Hamilton,Ontario,
490,Hamilton,Ontario,
491,Hamilton,Ontario,
493,Kelowna,British Columbia,
494,Kelowna,British Columbia,
496,Kelowna,British Columbia,
497,Kelowna,British Columbia,
499,Kingston,Ontario,
500,Kingston,Ontario,
502,Kingston,Ontario,
503,Kingston,Ontario,
505,Kitchener-Cambridge-Waterloo,Ontario,
506,Kitchener-Cambridge-Waterloo,Ontario,
508,Kitchener-Cambridge-Waterloo,Ontario,
509,Kitchener-Cambridge-Waterloo,Ontario,
511,London,Ontario,
512,London,Ontario,
514,London,Ontario,
515,London,Ontario,
517,Moncton,New Brunswick,
518,Moncton,New Brunswick,
520,Moncton,New Brunswick,
521,Moncton,New Brunswick,
523,Montréal excluding Saint-Jérôme,Quebec,
524,Montréal excluding Saint-Jérôme,Quebec,
526,Montréal excluding Saint-Jérôme,Quebec,
527,Montréal excluding Saint-Jérôme,Quebec,
529,Oshawa,Ontario,
530,Oshawa,Ontario,
532,Oshawa,Ontario,
533,Oshawa,Ontario,
535,Ottawa-Gatineau,Ontario/Quebec,
536,Ottawa-Gatineau,Ontario/Quebec,
538,Ottawa-Gatineau,Ontario/Quebec,
539,Ottawa-Gatineau,Ontario/Quebec,
541,Ottawa-Gatineau,Ontario part,Ontario/Quebec
542,Ottawa-Gatineau,Ontario part,Ontario/Quebec
544,Ottawa-Gatineau,Ontario part,Ontario/Quebec
545,Ottawa-Gatineau,Ontario part,Ontario/Quebec
547,Ottawa-Gatineau,Quebec part,Ontario/Quebec
548,Ottawa-Gatineau,Quebec part,Ontario/Quebec
550,Ottawa-Gatineau,Quebec part,Ontario/Quebec
551,Ottawa-Gatineau,Quebec part,Ontario/Quebec
553,Peterborough,Ontario,
554,Peterborough,Ontario,
556,Peterborough,Ontario,
557,Peterborough,Ontario,
559,Québec,Quebec,
560,Québec,Quebec,
562,Québec,Quebec,
563,Québec,Quebec,
565,Regina,Saskatchewan,
566,Regina,Saskatchewan,
568,Regina,Saskatchewan,
569,Regina,Saskatchewan,
571,St. Catharines-Niagara,Ontario,
572,St. Catharines-Niagara,Ontario,
574,St. Catharines-Niagara,Ontario,
575,St. Catharines-Niagara,Ontario,
577,St. John's,Newfoundland and Labrador,
578,St. John's,Newfoundland and Labrador,
580,St. John's,Newfoundland and Labrador,
581,St. John's,Newfoundland and Labrador,
583,Saguenay,Quebec,
584,Saguenay,Quebec,
586,Saguenay,Quebec,
587,Saguenay,Quebec,
589,Saint John,New Brunswick,
590,Saint John,New Brunswick,
592,Saint John,New Brunswick,
593,Saint John,New Brunswick,
595,Saskatoon,Saskatchewan,
596,Saskatoon,Saskatchewan,
598,Saskatoon,Saskatchewan,
599,Saskatoon,Saskatchewan,
601,Sherbrooke,Quebec,
602,Sherbrooke,Quebec,
604,Sherbrooke,Quebec,
605,Sherbrooke,Quebec,
607,Thunder Bay,Ontario,
608,Thunder Bay,Ontario,
610,Thunder Bay,Ontario,
611,Thunder Bay,Ontario,
613,Toronto,Ontario,
614,Toronto,Ontario,
616,Toronto,Ontario,
617,Toronto,Ontario,
619,Trois-Rivières,Quebec,
620,Trois-Rivières,Quebec,
622,Trois-Rivières,Quebec,
623,Trois-Rivières,Quebec,
625,Vancouver,British Columbia,
626,Vancouver,British Columbia,
628,Vancouver,British Columbia,
629,Vancouver,British Columbia,
631,Victoria,British Columbia,
632,Victoria,British Columbia,
634,Victoria,British Columbia,
635,Victoria,British Columbia,
637,Windsor,Ontario,
638,Windsor,Ontario,
640,Windsor,Ontario,
641,Windsor,Ontario,
643,Winnipeg,Manitoba,
644,Winnipeg,Manitoba,
646,Winnipeg,Manitoba,
647,Winnipeg,Manitoba,
655,Abbotsford-Mission,British Columbia,
656,Abbotsford-Mission,British Columbia,
658,Abbotsford-Mission,British Columbia,
659,Abbotsford-Mission,British Columbia,
661,Barrie,Ontario,
662,Barrie,Ontario,
664,Barrie,Ontario,
665,Barrie,Ontario,
667,Brantford,Ontario,
668,Brantford,Ontario,
670,Brantford,Ontario,
671,Brantford,Ontario,
673,Calgary,Alberta,
674,Calgary,Alberta,
676,Calgary,Alberta,
677,Calgary,Alberta,
679,Edmonton,Alberta,
680,Edmonton,Alberta,
682,Edmonton,Alberta,
683,Edmonton,Alberta,
685,Greater Sudbury,Ontario,
686,Greater Sudbury,Ontario,
688,Greater Sudbury,Ontario,
689,Greater Sudbury,Ontario,
691,Guelph,Ontario,
692,Guelph,Ontario,
694,Guelph,Ontario,
695,Guelph,Ontario,
697,Halifax,Nova Scotia,
698,Halifax,Nova Scotia,
700,Halifax,Nova Scotia,
701,Halifax,Nova Scotia,
703,Hamilton,Ontario,
704,Hamilton,Ontario,
706,Hamilton,Ontario,
707,Hamilton,Ontario,
709,Kelowna,British Columbia,
710,Kelowna,British Columbia,
712,Kelowna,British Columbia,
713,Kelowna,British Columbia,
715,Kingston,Ontario,
716,Kingston,Ontario,
718,Kingston,Ontario,
719,Kingston,Ontario,
721,Kitchener-Cambridge-Waterloo,Ontario,
722,Kitchener-Cambridge-Waterloo,Ontario,
724,Kitchener-Cambridge-Waterloo,Ontario,
725,Kitchener-Cambridge-Waterloo,Ontario,
727,London,Ontario,
728,London,Ontario,
730,London,Ontario,
731,London,Ontario,
733,Moncton,New Brunswick,
734,Moncton,New Brunswick,
736,Moncton,New Brunswick,
737,Moncton,New Brunswick,
739,Montréal excluding Saint-Jérôme,Quebec,
740,Montréal excluding Saint-Jérôme,Quebec,
742,Montréal excluding Saint-Jérôme,Quebec,
743,Montréal excluding Saint-Jérôme,Quebec,
745,Oshawa,Ontario,
746,Oshawa,Ontario,
748,Oshawa,Ontario,
749,Oshawa,Ontario,
751,Ottawa-Gatineau,Ontario/Quebec,
752,Ottawa-Gatineau,Ontario/Quebec,
754,Ottawa-Gatineau,Ontario/Quebec,
755,Ottawa-Gatineau,Ontario/Quebec,
757,Ottawa-Gatineau,Ontario part,Ontario/Quebec
758,Ottawa-Gatineau,Ontario part,Ontario/Quebec
760,Ottawa-Gatineau,Ontario part,Ontario/Quebec
761,Ottawa-Gatineau,Ontario part,Ontario/Quebec
763,Ottawa-Gatineau,Quebec part,Ontario/Quebec
764,Ottawa-Gatineau,Quebec part,Ontario/Quebec
766,Ottawa-Gatineau,Quebec part,Ontario/Quebec
767,Ottawa-Gatineau,Quebec part,Ontario/Quebec
769,Peterborough,Ontario,
770,Peterborough,Ontario,
772,Peterborough,Ontario,
773,Peterborough,Ontario,
775,Québec,Quebec,
776,Québec,Quebec,
778,Québec,Quebec,
779,Québec,Quebec,
781,Regina,Saskatchewan,
782,Regina,Saskatchewan,
784,Regina,Saskatchewan,
785,Regina,Saskatchewan,
787,St. Catharines-Niagara,Ontario,
788,St. Catharines-Niagara,Ontario,
790,St. Catharines-Niagara,Ontario,
791,St. Catharines-Niagara,Ontario,
793,St. John's,Newfoundland and Labrador,
794,St. John's,Newfoundland and Labrador,
796,St. John's,Newfoundland and Labrador,
797,St. John's,Newfoundland and Labrador,
799,Saguenay,Quebec,
800,Saguenay,Quebec,
802,Saguenay,Quebec,
803,Saguenay,Quebec,
805,Saint John,New Brunswick,
806,Saint John,New Brunswick,
808,Saint John,New Brunswick,
809,Saint John,New Brunswick,
811,Saskatoon,Saskatchewan,
812,Saskatoon,Saskatchewan,
814,Saskatoon,Saskatchewan,
815,Saskatoon,Saskatchewan,
817,Sherbrooke,Quebec,
818,Sherbrooke,Quebec,
820,Sherbrooke,Quebec,
821,Sherbrooke,Quebec,
823,Thunder Bay,Ontario,
824,Thunder Bay,Ontario,
826,Thunder Bay,Ontario,
827,Thunder Bay,Ontario,
829,Toronto,Ontario,
830,Toronto,Ontario,
832,Toronto,Ontario,
833,Toronto,Ontario,
835,Trois-Rivières,Quebec,
836,Trois-Rivières,Quebec,
838,Trois-Rivières,Quebec,
839,Trois-Rivières,Quebec,
841,Vancouver,British Columbia,
842,Vancouver,British Columbia,
844,Vancouver,British Columbia,
845,Vancouver,British Columbia,
847,Victoria,British Columbia,
848,Victoria,British Columbia,
850,Victoria,British Columbia,
851,Victoria,British Columbia,
853,Windsor,Ontario,
854,Windsor,Ontario,
856,Windsor,Ontario,
857,Windsor,Ontario,
859,Winnipeg,Manitoba,
860,Winnipeg,Manitoba,
862,Winnipeg,Manitoba,
863,Winnipeg,Manitoba,
871,Abbotsford-Mission,British Columbia,
872,Abbotsford-Mission,British Columbia,
874,Abbotsford-Mission,British Columbia,
875,Abbotsford-Mission,British Columbia,
877,Barrie,Ontario,
878,Barrie,Ontario,
880,Barrie,Ontario,
881,Barrie,Ontario,
883,Brantford,Ontario,
884,Brantford,Ontario,
886,Brantford,Ontario,
887,Brantford,Ontario,
889,Calgary,Alberta,
890,Calgary,Alberta,
892,Calgary,Alberta,
893,Calgary,Alberta,
895,Edmonton,Alberta,
896,Edmonton,Alberta,
898,Edmonton,Alberta,
899,Edmonton,Alberta,
901,Greater Sudbury,Ontario,
902,Greater Sudbury,Ontario,
904,Greater Sudbury,Ontario,
905,Greater Sudbury,Ontario,
907,Guelph,Ontario,
908,Guelph,Ontario,
910,Guelph,Ontario,
911,Guelph,Ontario,
913,Halifax,Nova Scotia,
914,Halifax,Nova Scotia,
916,Halifax,Nova Scotia,
917,Halifax,Nova Scotia,
919,Hamilton,Ontario,
920,Hamilton,Ontario,
922,Hamilton,Ontario,
923,Hamilton,Ontario,
925,Kelowna,British Columbia,
926,Kelowna,British Columbia,
928,Kelowna,British Columbia,
929,Kelowna,British Columbia,
931,Kingston,Ontario,
932,Kingston,Ontario,
934,Kingston,Ontario,
935,Kingston,Ontario,
937,Kitchener-Cambridge-Waterloo,Ontario,
938,Kitchener-Cambridge-Waterloo,Ontario,
940,Kitchener-Cambridge-Waterloo,Ontario,
941,Kitchener-Cambridge-Waterloo,Ontario,
943,London,Ontario,
944,London,Ontario,
946,London,Ontario,
947,London,Ontario,
949,Moncton,New Brunswick,
950,Moncton,New Brunswick,
952,Moncton,New Brunswick,
953,Moncton,New Brunswick,
955,Montréal excluding Saint-Jérôme,Quebec,
956,Montréal excluding Saint-Jérôme,Quebec,
958,Montréal excluding Saint-Jérôme,Quebec,
959,Montréal excluding Saint-Jérôme,Quebec,
961,Oshawa,Ontario,
962,Oshawa,Ontario,
964,Oshawa,Ontario,
965,Oshawa,Ontario,
967,Ottawa-Gatineau,Ontario/Quebec,
968,Ottawa-Gatineau,Ontario/Quebec,
970,Ottawa-Gatineau,Ontario/Quebec,
971,Ottawa-Gatineau,Ontario/Quebec,
973,Ottawa-Gatineau,Ontario part,Ontario/Quebec
974,Ottawa-Gatineau,Ontario part,Ontario/Quebec
976,Ottawa-Gatineau,Ontario part,Ontario/Quebec
977,Ottawa-Gatineau,Ontario part,Ontario/Quebec
979,Ottawa-Gatineau,Quebec part,Ontario/Quebec
980,Ottawa-Gatineau,Quebec part,Ontario/Quebec
982,Ottawa-Gatineau,Quebec part,Ontario/Quebec
983,Ottawa-Gatineau,Quebec part,Ontario/Quebec
985,Peterborough,Ontario,
986,Peterborough,Ontario,
988,Peterborough,Ontario,
989,Peterborough,Ontario,
991,Québec,Quebec,
992,Québec,Quebec,
994,Québec,Quebec,
995,Québec,Quebec,
997,Regina,Saskatchewan,
998,Regina,Saskatchewan,
1000,Regina,Saskatchewan,
1001,Regina,Saskatchewan,
1003,St. Catharines-Niagara,Ontario,
1004,St. Catharines-Niagara,Ontario,
1006,St. Catharines-Niagara,Ontario,
1007,St. Catharines-Niagara,Ontario,
1009,St. John's,Newfoundland and Labrador,
1010,St. John's,Newfoundland and Labrador,
1012,St. John's,Newfoundland and Labrador,
1013,St. John's,Newfoundland and Labrador,
1015,Saguenay,Quebec,
1016,Saguenay,Quebec,
1018,Saguenay,Quebec,
1019,Saguenay,Quebec,
1021,Saint John,New Brunswick,
1022,Saint John,New Brunswick,
1024,Saint John,New Brunswick,
1025,Saint John,New Brunswick,
1027,Saskatoon,Saskatchewan,
1028,Saskatoon,Saskatchewan,
1030,Saskatoon,Saskatchewan,
1031,Saskatoon,Saskatchewan,
1033,Sherbrooke,Quebec,
1034,Sherbrooke,Quebec,
1036,Sherbrooke,Quebec,
1037,Sherbrooke,Quebec,
1039,Thunder Bay,Ontario,
1040,Thunder Bay,Ontario,
1042,Thunder Bay,Ontario,
1043,Thunder Bay,Ontario,
1045,Toronto,Ontario,
1046,Toronto,Ontario,
1048,Toronto,Ontario,
1049,Toronto,Ontario,
1051,Trois-Rivières,Quebec,
1052,Trois-Rivières,Quebec,
1054,Trois-Rivières,Quebec,
1055,Trois-Rivières,Quebec,
1057,Vancouver,British Columbia,
1058,Vancouver,British Columbia,
1060,Vancouver,British Columbia,
1061,Vancouver,British Columbia,
1063,Victoria,British Columbia,
1064,Victoria,British Columbia,
1066,Victoria,British Columbia,
1067,Victoria,British Columbia,
1069,Windsor,Ontario,
1070,Windsor,Ontario,
1072,Windsor,Ontario,
1073,Windsor,Ontario,
1075,Winnipeg,Manitoba,
1076,Winnipeg,Manitoba,
1078,Winnipeg,Manitoba,
1079,Winnipeg,Manitoba,
1087,Abbotsford-Mission,British Columbia,
1088,Abbotsford-Mission,British Columbia,
1090,Abbotsford-Mission,British Columbia,
1091,Abbotsford-Mission,British Columbia,
1093,Barrie,Ontario,
1094,Barrie,Ontario,
1096,Barrie,Ontario,
1097,Barrie,Ontario,
1099,Brantford,Ontario,
1100,Brantford,Ontario,
1102,Brantford,Ontario,
1103,Brantford,Ontario,
1105,Calgary,Alberta,
1106,Calgary,Alberta,
1108,Calgary,Alberta,
1109,Calgary,Alberta,
1111,Edmonton,Alberta,
1112,Edmonton,Alberta,
1114,Edmonton,Alberta,
1115,Edmonton,Alberta,
1117,Greater Sudbury,Ontario,
1118,Greater Sudbury,Ontario,
1120,Greater Sudbury,Ontario,
1121,Greater Sudbury,Ontario,
1123,Guelph,Ontario,
1124,Guelph,Ontario,
1126,Guelph,Ontario,
1127,Guelph,Ontario,
1129,Halifax,Nova Scotia,
1130,Halifax,Nova Scotia,
1132,Halifax,Nova Scotia,
1133,Halifax,Nova Scotia,
1135,Hamilton,Ontario,
1136,Hamilton,Ontario,
1138,Hamilton,Ontario,
1139,Hamilton,Ontario,
1141,Kelowna,British Columbia,
1142,Kelowna,British Columbia,
1144,Kelowna,British Columbia,
1145,Kelowna,British Columbia,
1147,Kingston,Ontario,
1148,Kingston,Ontario,
1150,Kingston,Ontario,
1151,Kingston,Ontario,
1153,Kitchener-Cambridge-Waterloo,Ontario,
1154,Kitchener-Cambridge-Waterloo,Ontario,
1156,Kitchener-Cambridge-Waterloo,Ontario,
1157,Kitchener-Cambridge-Waterloo,Ontario,
1159,London,Ontario,
1160,London,Ontario,
1162,London,Ontario,
1163,London,Ontario,
1165,Moncton,New Brunswick,
1166,Moncton,New Brunswick,
1168,Moncton,New Brunswick,
1169,Moncton,New Brunswick,
1171,Montréal excluding Saint-Jérôme,Quebec,
1172,Montréal excluding Saint-Jérôme,Quebec,
1174,Montréal excluding Saint-Jérôme,Quebec,
1175,Montréal excluding Saint-Jérôme,Quebec,
1177,Oshawa,Ontario,
1178,Oshawa,Ontario,
1180,Oshawa,Ontario,
1181,Oshawa,Ontario,
1183,Ottawa-Gatineau,Ontario/Quebec,
1184,Ottawa-Gatineau,Ontario/Quebec,
1186,Ottawa-Gatineau,Ontario/Quebec,
1187,Ottawa-Gatineau,Ontario/Quebec,
1189,Ottawa-Gatineau,Ontario part,Ontario/Quebec
1190,Ottawa-Gatineau,Ontario part,Ontario/Quebec
1192,Ottawa-Gatineau,Ontario part,Ontario/Quebec
1193,Ottawa-Gatineau,Ontario part,Ontario/Quebec
1195,Ottawa-Gatineau,Quebec part,Ontario/Quebec
1196,Ottawa-Gatineau,Quebec part,Ontario/Quebec
1198,Ottawa-Gatineau,Quebec part,Ontario/Quebec
1199,Ottawa-Gatineau,Quebec part,Ontario/Quebec
1201,Peterborough,Ontario,
1202,Peterborough,Ontario,
1204,Peterborough,Ontario,
1205,Peterborough,Ontario,
1207,Québec,Quebec,
1208,Québec,Quebec,
1210,Québec,Quebec,
1211,Québec,Quebec,
1213,Regina,Saskatchewan,
1214,Regina,Saskatchewan,
1216,Regina,Saskatchewan,
1217,Regina,Saskatchewan,
1219,St. Catharines-Niagara,Ontario,
1220,St. Catharines-Niagara,Ontario,
1222,St. Catharines-Niagara,Ontario,
1223,St. Catharines-Niagara,Ontario,
1225,St. John's,Newfoundland and Labrador,
1226,St. John's,Newfoundland and Labrador,
1228,St. John's,Newfoundland and Labrador,
1229,St. John's,Newfoundland and Labrador,
1231,Saguenay,Quebec,
1232,Saguenay,Quebec,
1234,Saguenay,Quebec,
1235,Saguenay,Quebec,
1237,Saint John,New Brunswick,
1238,Saint John,New Brunswick,
1240,Saint John,New Brunswick,
1241,Saint John,New Brunswick,
1243,Saskatoon,Saskatchewan,
1244,Saskatoon,Saskatchewan,
1246,Saskatoon,Saskatchewan,
1247,Saskatoon,Saskatchewan,
1249,Sherbrooke,Quebec,
1250,Sherbrooke,Quebec,
1252,Sherbrooke,Quebec,
1253,Sherbrooke,Quebec,
1255,Thunder Bay,Ontario,
1256,Thunder Bay,Ontario,
1258,Thunder Bay,Ontario,
1259,Thunder Bay,Ontario,
1261,Toronto,Ontario,
1262,Toronto,Ontario,
1264,Toronto,Ontario,
1265,Toronto,Ontario,
1267,Trois-Rivières,Quebec,
1268,Trois-Rivières,Quebec,
1270,Trois-Rivières,Quebec,
1271,Trois-Rivières,Quebec,
1273,Vancouver,British Columbia,
