city_name,city_size_type,city_type,province,pop_2016,city_size,pop_density
Gentilly,"Small population centre (1,000 to 29,999)",Fringe,Quebec,1673.0,1.61,1039.8
Bedford,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,2550.0,3.81,668.8
Beeton,"Small population centre (1,000 to 29,999)",Fringe,Ontario,3891.0,2.12,1839.1
Belleville,"Medium population centre (30,000 to 99,999)",Core,Ontario,67666.0,82.64,818.8
Beloeil,"Medium population centre (30,000 to 99,999)",Secondary core,Quebec,50845.0,26.42,1924.6
Berthierville,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,4715.0,5.19,908.6
Berwick,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,2449.0,3.81,643.5
Biggar,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Saskatchewan,2165.0,1.66,1305.7
Bishop's Falls,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,2581.0,5.77,447.3
Blairmore,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,1545.0,2.04,758.3
Blenheim,"Small population centre (1,000 to 29,999)",Fringe,Ontario,4344.0,4.54,957.4
Blind River,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,2284.0,3.9,585.3
Bobcaygeon,"Small population centre (1,000 to 29,999)",Fringe,Ontario,3525.0,5.27,669.1
Boissevain,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,1656.0,2.44,679.7
Saint-Martin,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,1582.0,3.27,483.7
Bolton,"Small population centre (1,000 to 29,999)",Secondary core,Ontario,26378.0,20.72,1273.0
Bonaventure,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,1439.0,2.8,514.0
Bonavista,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,3140.0,4.2,746.9
Bonnyville,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,5081.0,5.37,945.9
Botwood,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,2763.0,4.44,623.0
Bow Island,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,1773.0,1.37,1292.4
Bowmanville,"Medium population centre (30,000 to 99,999)",Secondary core,Ontario,39371.0,21.7,1814.0
Bracebridge,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,9232.0,13.39,689.7
Bradford,"Small population centre (1,000 to 29,999)",Secondary core,Ontario,29862.0,11.94,2501.1
Brandon,"Medium population centre (30,000 to 99,999)",Core,Manitoba,48324.0,28.32,1706.4
Brantford,"Medium population centre (30,000 to 99,999)",Core,Ontario,98179.0,61.02,1609.0
Bridgenorth - Chemong Park Area,"Small population centre (1,000 to 29,999)",Fringe,Ontario,2945.0,6.88,428.1
Bridgewater,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,8532.0,13.63,625.9
Brighton,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,5861.0,6.92,846.9
Brockville,"Small population centre (1,000 to 29,999)",Core,Ontario,21854.0,18.71,1167.8
Brooks,"Small population centre (1,000 to 29,999)",Core,Alberta,14436.0,12.86,1122.3
Bouctouche,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,1722.0,4.02,428.5
Burgeo,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,1307.0,1.98,660.4
Burns Lake,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,1932.0,2.95,655.6
Cabano,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,2438.0,2.73,894.6
Caledonia,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,9674.0,5.57,1738.2
Calgary,"Large urban population centre (100,000 or more)",Core,Alberta,1237656.0,586.08,2111.8
Campbell River,"Medium population centre (30,000 to 99,999)",Core,British Columbia,35138.0,30.72,1143.9
Campbellford,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,3473.0,3.74,929.5
Campbellton,"Small population centre (1,000 to 29,999)",Core,New Brunswick/Quebec,10716.0,21.23,504.8
Camrose,"Small population centre (1,000 to 29,999)",Core,Alberta,18520.0,17.08,1084.6
Canmore,"Small population centre (1,000 to 29,999)",Core,Alberta,11764.0,13.44,875.4
Cannington,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,1845.0,1.82,1011.8
Canora,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Saskatchewan,1700.0,1.44,1177.0
Cap-aux-Meules,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,2028.0,4.8,422.4
Cap-Chat,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,1072.0,1.14,943.9
Capreol,"Small population centre (1,000 to 29,999)",Fringe,Ontario,2815.0,1.99,1417.9
Caraquet,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,3108.0,7.63,407.5
Carberry,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,1682.0,1.75,961.3
Carbonear,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,6520.0,10.83,601.8
Cardinal,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,1717.0,2.42,708.5
Cardston,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,3258.0,3.22,1012.5
Carleton Place,"Small population centre (1,000 to 29,999)",Core,Ontario,11936.0,12.47,957.5
Carlyle,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Saskatchewan,1503.0,2.2,683.3
Carman,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,2980.0,2.85,1045.7
Carnduff,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Saskatchewan,1023.0,1.05,971.0
Casselman,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,3563.0,5.14,692.5
Castlegar,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,9023.0,14.74,612.1
Causapscal,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,1041.0,1.73,602.9
Cayuga,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,1713.0,2.13,803.3
Chandler,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,2285.0,1.9,1201.4
Channel-Port aux Basques,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,3665.0,4.89,749.4
Chapais,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,1318.0,0.99,1329.0
Chapleau,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,1170.0,0.57,2057.0
Charlottetown,"Medium population centre (30,000 to 99,999)",Core,Prince Edward Island,44739.0,49.3,907.4
Chase,"Small population centre (1,000 to 29,999)",Fringe,British Columbia,2263.0,2.33,969.5
Château-Richer,"Small population centre (1,000 to 29,999)",Fringe,Quebec,1503.0,1.8,833.3
Chatham,"Medium population centre (30,000 to 99,999)",Core,Ontario,43550.0,31.36,1388.7
Chemainus,"Small population centre (1,000 to 29,999)",Fringe,British Columbia,3021.0,2.09,1447.6
Chesley,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,1843.0,1.91,963.5
Chester,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,1458.0,3.59,405.9
Chesterville,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,1677.0,1.86,900.3
Chibougamau,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,6862.0,6.03,1137.4
Chicoutimi - Jonquière,"Large urban population centre (100,000 or more)",Core,Quebec,104222.0,90.33,1153.8
Chilliwack,"Medium population centre (30,000 to 99,999)",Core,British Columbia,73161.0,54.09,1352.6
Chute-aux-Outardes,"Small population centre (1,000 to 29,999)",Fringe,Quebec,1059.0,0.48,2192.5
Clarenville-Shoal Harbour,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,5809.0,12.34,470.6
Claresholm,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,3424.0,2.68,1276.0
Clermont,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,2765.0,3.75,737.9
Clinton,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,3049.0,2.89,1055.9
Coaldale,"Small population centre (1,000 to 29,999)",Fringe,Alberta,8153.0,5.92,1378.4
Coaticook,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,6524.0,8.71,748.9
Cobourg,"Small population centre (1,000 to 29,999)",Core,Ontario,19031.0,15.54,1224.6
Cochrane,"Small population centre (1,000 to 29,999)",Secondary core,Alberta,25289.0,23.4,1080.6
Cochrane,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,3648.0,3.64,1003.2
Colborne,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,1577.0,1.74,904.0
Collingwood,"Small population centre (1,000 to 29,999)",Core,Ontario,20102.0,15.69,1280.8
Contrecoeur,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,6236.0,4.31,1447.3
Cookshire,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,1021.0,2.02,506.2
Corner Brook,"Small population centre (1,000 to 29,999)",Core,Newfoundland and Labrador,19547.0,21.75,898.7
Cornwall,"Medium population centre (30,000 to 99,999)",Core,Ontario,45723.0,30.31,1508.4
Courtenay,"Medium population centre (30,000 to 99,999)",Core,British Columbia,45018.0,55.47,811.6
Cowansville,"Small population centre (1,000 to 29,999)",Core,Quebec,11809.0,14.72,802.3
Crabtree,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,3004.0,1.83,1639.0
Cranbrook,"Small population centre (1,000 to 29,999)",Core,British Columbia,19259.0,14.74,1306.9
Creston,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,5226.0,6.09,857.5
Cumberland,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,3600.0,3.92,918.7
Dalhousie,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,2351.0,2.59,908.3
Dauphin,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,8095.0,7.01,1154.8
Dawson Creek,"Small population centre (1,000 to 29,999)",Core,British Columbia,11574.0,12.48,927.4
Deep River,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,3658.0,3.69,991.9
Deer Lake,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,4602.0,7.94,579.5
Dégelis,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,1798.0,2.14,839.6
Delhi,"Small population centre (1,000 to 29,999)",Fringe,Ontario,4240.0,2.97,1429.1
Deseronto,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,1645.0,1.27,1299.9
Devon,"Small population centre (1,000 to 29,999)",Fringe,Alberta,6578.0,14.3,460.2
Didsbury,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,5222.0,5.52,946.7
Digby,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,2060.0,3.15,654.6
Disraeli,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,2212.0,2.58,857.0
Dolbeau,"Small population centre (1,000 to 29,999)",Core,Quebec,11388.0,10.45,1090.0
Donnacona,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,8418.0,9.02,933.1
Drayton Valley,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,6867.0,6.77,1014.0
Dresden,"Small population centre (1,000 to 29,999)",Fringe,Ontario,2451.0,2.78,883.0
Drumheller,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,6439.0,9.47,679.6
Drummondville,"Medium population centre (30,000 to 99,999)",Core,Quebec,68601.0,52.15,1315.4
Dryden,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,5586.0,6.43,869.3
Duncan,"Small population centre (1,000 to 29,999)",Core,British Columbia,23278.0,21.74,1070.5
Dundalk,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,2046.0,2.05,999.3
Dunnville,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,5759.0,5.39,1068.4
Durham,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,2609.0,3.22,810.7
East Angus,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,3472.0,4.43,783.4
East Broughton,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,1832.0,1.55,1178.9
Edmonton,"Large urban population centre (100,000 or more)",Core,Alberta,1062643.0,572.69,1855.5
Edmundston,"Small population centre (1,000 to 29,999)",Core,New Brunswick,12086.0,17.88,675.9
Edson,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,8148.0,10.25,795.3
Eganville,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,1022.0,2.06,496.3
Elliot Lake,"Small population centre (1,000 to 29,999)",Core,Ontario,10498.0,10.34,1015.7
Elmira,"Small population centre (1,000 to 29,999)",Fringe,Ontario,10161.0,7.87,1291.8
Elmvale,"Small population centre (1,000 to 29,999)",Fringe,Ontario,2314.0,1.91,1214.0
Embrun,"Small population centre (1,000 to 29,999)",Fringe,Ontario,6918.0,9.17,754.1
Enderby,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,2964.0,4.26,695.3
Englehart,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,1418.0,1.33,1070.1
Erin,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,2647.0,4.03,656.1
Les Escoumins,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,1339.0,1.62,827.2
Espanola,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,3693.0,3.06,1208.2
Essex,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,7446.0,5.55,1342.6
Esterhazy,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Saskatchewan,2367.0,2.35,1005.7
Estevan,"Small population centre (1,000 to 29,999)",Core,Saskatchewan,11258.0,9.16,1228.9
Exeter,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,4649.0,4.39,1058.8
Fairview,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,2598.0,2.18,1191.1
Farnham,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,6731.0,5.76,1168.2
Fenelon Falls,"Small population centre (1,000 to 29,999)",Fringe,Ontario,2464.0,3.81,645.9
Fergus,"Small population centre (1,000 to 29,999)",Core,Ontario,20767.0,17.66,1175.6
Ferme-Neuve,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,1706.0,1.66,1030.0
Fernie,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,4850.0,4.46,1087.5
Flin Flon,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba/Saskatchewan,4791.0,4.36,1099.7
Foam Lake,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Saskatchewan,1022.0,1.32,777.1
Forest,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,2277.0,2.34,975.0
Forestville,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,2333.0,1.96,1193.1
Fort Frances,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,7420.0,7.29,1018.2
Fort Macleod,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,2708.0,2.19,1239.1
Fort McMurray,"Medium population centre (30,000 to 99,999)",Core,Alberta,66573.0,51.79,1285.4
Fort Nelson,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,3366.0,4.68,719.1
Fort Qu'Appelle,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Saskatchewan,1920.0,2.14,898.9
Fort St. James,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,1510.0,1.64,920.3
Fort St. John,"Small population centre (1,000 to 29,999)",Core,British Columbia,19897.0,14.17,1404.3
Fort-Coulonge,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,2359.0,3.68,640.5
Fortune,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,1007.0,0.52,1926.9
Fox Creek,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,1720.0,1.27,1354.5
Saint-Apollinaire,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,3335.0,4.43,753.5
Frankford,"Small population centre (1,000 to 29,999)",Fringe,Ontario,2825.0,2.88,981.7
Fredericton,"Medium population centre (30,000 to 99,999)",Core,New Brunswick,59405.0,83.33,712.9
Iqaluit,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nunavut,7082.0,9.55,741.7
Gananoque,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,5159.0,7.03,733.6
Gander,"Small population centre (1,000 to 29,999)",Core,Newfoundland and Labrador,10220.0,12.14,842.0
Georgetown,"Medium population centre (30,000 to 99,999)",Secondary core,Ontario,42123.0,24.03,1753.1
Geraldton,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,1828.0,2.49,735.2
Gibsons,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,9132.0,13.73,665.2
Gimli,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Manitoba,2246.0,3.01,746.6
Glace Bay,"Small population centre (1,000 to 29,999)",Fringe,Nova Scotia,17556.0,30.9,568.2
Glencoe,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,2126.0,2.66,797.8
Goderich,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,7536.0,4.51,1669.8
Golden,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,3240.0,4.76,680.1
Granby,"Medium population centre (30,000 to 99,999)",Core,Quebec,59691.0,48.24,1237.4
Grand Bank,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,2230.0,2.32,960.1
Grand Centre,"Small population centre (1,000 to 29,999)",Core,Alberta,7256.0,18.11,400.7
Grand Falls,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,New Brunswick,4221.0,5.3,795.9
Grand Falls-Windsor,"Small population centre (1,000 to 29,999)",Core,Newfoundland and Labrador,12046.0,11.42,1054.8
Grand Forks,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,British Columbia,3953.0,7.39,534.6
Grande Cache,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,3286.0,3.74,878.1
Grande Prairie,"Medium population centre (30,000 to 99,999)",Core,Alberta,62320.0,47.48,1312.6
Grande-Rivière,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,1517.0,3.28,463.2
Gravenhurst,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,5349.0,5.08,1053.4
Grimshaw,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,2599.0,4.13,628.9
Guelph,"Large urban population centre (100,000 or more)",Core,Ontario,132397.0,74.1,1786.7
Hagersville,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,2939.0,3.17,926.3
Haileybury,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,3266.0,2.87,1136.8
Halifax,"Large urban population centre (100,000 or more)",Core,Nova Scotia,316701.0,234.72,1349.3
Hamilton,"Large urban population centre (100,000 or more)",Core,Ontario,693645.0,351.67,1972.4
Hampton,"Small population centre (1,000 to 29,999)",Fringe,New Brunswick,3436.0,7.85,437.9
Hanna,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Alberta,2332.0,2.34,995.7
Hanover,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,7413.0,6.92,1071.0
Hantsport,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Nova Scotia,1560.0,2.87,543.8
Happy Valley-Goose Bay,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Newfoundland and Labrador,6408.0,12.66,506.3
Harriston,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,1797.0,1.28,1408.4
Harrow,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,2710.0,2.86,948.8
Havelock,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Ontario,1175.0,1.13,1039.3
Havre-Saint-Pierre,"Small population centre (1,000 to 29,999)",Population centre outside metropolitan area / census agglomerations,Quebec,2925.0,2.09,1399.4
Hawkesbury,"Small population centre (1,000 to 29,999)",Core,Ontario/Quebec,11715.0,9.76,1200.6
